0.000000000000000000e+00,9.442522646571049894e-01,9.223477919186847673e-01,2.622055229436160428e-01,5.787847754809058998e-01
1.000000000000000000e+00,6.406871327779649627e-01,9.059644447279391333e-01,2.616888097014701819e-01,7.005416043193540832e-01
2.000000000000000000e+00,9.232563890682177199e-01,7.528442607133188913e-01,6.429039659556120556e-01,6.589122700229030904e-01
3.000000000000000000e+00,1.639418261125925314e-01,5.199294275060185599e-01,1.017381661566140183e-01,5.892805363713213840e-01
4.000000000000000000e+00,1.522633534378244335e-01,9.978796425593838837e-01,7.389667846847298716e-01,7.643209632078111770e-01
5.000000000000000000e+00,4.796393397789621704e-01,6.415860396106177754e-01,1.622485770535360139e-01,3.454656273444269843e-01
6.000000000000000000e+00,6.925443172634984657e-02,2.992913808527846165e-01,8.056926443798283488e-01,9.943758245773026694e-01
7.000000000000000000e+00,8.529928821074980183e-01,9.989583963578604342e-01,5.030662371077596617e-01,6.623744052253884851e-01
8.000000000000000000e+00,3.891590502837126153e-01,9.886985467320400511e-01,6.876734390534312569e-01,4.534128143372158637e-01
9.000000000000000000e+00,5.943811508614254002e-01,4.645784479189686844e-01,9.984769716252772653e-02,3.993478301692122701e-01
1.000000000000000000e+01,3.090522302155857548e-01,5.255425466564696002e-01,1.206951915726864055e-01,2.463163348054230317e-01
1.100000000000000000e+01,5.792019412696464142e-01,3.638292580865249981e-01,2.327250547177366624e-01,1.226663384902035026e-01
1.200000000000000000e+01,1.824931312209197160e-02,9.992415693953378142e-01,4.268205606687031084e-01,7.863016504516433525e-01
1.300000000000000000e+01,4.146610232863951473e-01,8.643190325551355357e-01,8.622538642162410616e-01,7.118991297997819823e-01
1.400000000000000000e+01,2.969306776195345110e-01,3.663718664969251027e-01,1.030473590047381732e-01,9.712905794645318447e-02
1.500000000000000000e+01,2.016764950373227949e-01,9.975743668775781670e-01,4.182412692202321924e-01,7.407747460726623601e-01
1.600000000000000000e+01,5.766612251909362108e-01,8.416311633828019723e-01,6.353934514351392560e-01,2.148393688373985422e-01
1.700000000000000000e+01,5.564135735553414897e-01,4.579099958001628945e-01,7.573484627371256106e-02,5.065552423676717986e-01
1.800000000000000000e+01,4.554378307152703864e-01,9.980552806171747449e-01,3.724049850992856570e-01,7.124768393145211043e-01
1.900000000000000000e+01,3.168841429292236778e-01,9.963908494634140522e-01,3.188023651646995638e-01,7.399737597650746235e-01
2.000000000000000000e+01,1.851750301618138583e-01,7.020564217874367685e-01,1.766578966093481085e-01,2.661363359596536360e-01
2.100000000000000000e+01,1.753637489054281628e-01,8.091954507882941350e-01,6.200910384223428107e-01,2.586209441115762120e-01
2.200000000000000000e+01,1.241032162241458708e-01,5.500252049427706291e-01,1.008856974185963762e-01,4.332751021219525267e-01
2.300000000000000000e+01,5.877654764068404036e-01,4.818562764675299315e-01,3.138549878550331851e-01,2.054879350370828195e-01
2.400000000000000000e+01,7.036880458002482408e-01,8.115958949569007652e-01,4.300166806441107492e-01,4.880015702665810307e-01
2.500000000000000000e+01,4.149956835133462585e-01,6.422228095901260092e-01,1.764242997991078976e-01,4.478546726161680147e-01
2.600000000000000000e+01,4.516301612242404895e-01,5.044380951089040277e-01,1.168641321287570423e-01,2.592422555751994206e-01
2.700000000000000000e+01,8.403731908073046597e-01,9.639734108138835467e-01,3.324598283832992940e-01,5.871253791201709316e-01
2.800000000000000000e+01,3.574398287247256278e-01,8.315724387548305285e-02,1.077720452093133829e-02,4.355474958481874714e-01
2.900000000000000000e+01,3.213511892498112088e-01,7.037249255497353140e-01,1.576014444929161873e-01,7.458573834054352814e-01
